brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url
Samsung,Ativ Tab P8510,No cellular connectivity, N/A,,,,No,No,2012  October,Available. Released 2012  November,265.8 x 168.1 x 8.9 mm (10.46 x 6.62 x 0.35 in),570,1.26,No,PLS TFT capacitive touchscreen  16M colors,,1366 x 768 pixels (~155 ppi pixel density),,Dual-core 1.5 GHz Krait,Qualcomm APQ8090A,Adreno 305,microSD  up to 64 GB (dedicated slot),32/64 GB,2 GB RAM,5 MP| autofocus| LED flash,1.9 MP,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| Wi-Fi Direct| dual-band,,,Yes,,USB 2.0| USB Host,Accelerometer| gyro| grip,Non-removable Li-Ion 8200 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/samsung-ativ-tab.jpg
Pantech,Vega R3 IM-A850L,GSM / CDMA / HSPA / EVDO / LTE,,HSDPA 2100 , LTE 800,HSPA  LTE  EV-DO Rev. A,Yes,Yes,,Available. Released 2012  October,144.7 x 74.3 x 10 mm (5.70 x 2.93 x 0.39 in),168.5,5.93,Micro-SIM,Natural IPS Pro LCD capacitive touchscreen  16M colors,5.3 inches (~72.0% screen-to-body ratio),720 x 1280 pixels (~277 ppi pixel density),Android 4.0.4 (Ice Cream Sandwich)| planned upgrade to 4.1 (Jelly Bean),,Qualcomm APQ8064 Snapdragon S4 Pro,Adreno 320,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| DLNA| hotspot,,,Yes,No,microUSB 2.0| USB Host,Accelerometer| gyro| proximity| compass,Removable Li-Ion 2600 mAh battery,Black| White,550.0,http://cdn2.gsmarena.com/vv/bigpic/pantech-vega-r3.jpg
Telit,t200,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2006  1Q,Discontinued,96.5 x 49.5 x 15.4 mm (3.80 x 1.95 x 0.61 in),,2.68,Mini-SIM,TFT  256K colors,,128 x 160 pixels,,,,,No,7 MB,,VGA,No,No,No,No,,No,,No,Yes,,,,,http://cdn2.gsmarena.com/vv/bigpic/telit-t200.gif
Lava,X38,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 5(850)| 40(2300),,Yes,Yes,2016  July,,-,,,,IPS LCD capacitive touchscreen  16M colors,5.0 inches,720 x 1280 pixels (~294 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.0 GHz,,,microSD  up to 32 GB,8 GB,1 GB RAM,8 MP| LED flash,2 MP| LED flash,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Li-Ion 4000 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/lava-x38.jpg
HP,Slate8 Pro,No cellular connectivity,,,,,No,No,2013  December,Available. Released 2013  December,220 x 141.5 x 9.9 mm (8.66 x 5.57 x 0.39 in),453.6,1,No,Capacitive touchscreen  16M colors,8.0 inches (~63.7% screen-to-body ratio),1200 x 1600 pixels (~250 ppi pixel density),Android 4.2.2 (Jelly Bean),Quad-core 1.8 GHz Cortex-A15,Nvidia Tegra 4 T40 S,,microSD  up to 32 GB (dedicated slot),,1 GB RAM,8 MP| autofocus| LED flash,720p,Yes with stereo speakers,Yes,Wi-Fi 802.11 a/b/g/n| dual-band,4.0| LE,Yes,,No,,Accelerometer| gyro| compass,Non-removable Li-Po 5680 mAh battery,Black/White,240.0,http://cdn2.gsmarena.com/vv/bigpic/hp-slate8-pro.jpg
Samsung,C510,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2008  September,Discontinued,80 x 40 x 16.7 mm (3.15 x 1.57 x 0.66 in),70,2.47,Mini-SIM,CSTN  65K colors,1.67 inches (~27.4% screen-to-body ratio),128 x 160 pixels (~123 ppi pixel density),,,,,No,2 MB,,VGA,No,No,No,No,No,No,,No,No,,Removable Li-Ion 800 mAh battery,Gray,,http://cdn2.gsmarena.com/vv/bigpic/samsung-c510.jpg
,1231,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,2009  June. Released 2009  June,Discontinued,113 x 65.4 x 14.5 mm (4.45 x 2.57 x 0.57 in),130,4.59,Mini-SIM,TFT  65K colors,2.5 inches (~26.2% screen-to-body ratio),,Microsoft Windows Mobile 6.1 Standard,,,,microSD  up to 4 GB (dedicated slot),48 MB,,1.3 MP,No,Yes,No,No,2.0| A2DP,Yes,,No,Yes,,Removable Li-Ion 1100 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/vodafone-1231.jpg
Wiko,Birdy,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 ,,HSPA 21.1/5.76 Mbps  LTE Cat4 150/50 Mbps,Up to 107 kbps,Up to 296 kbps,,Available. Released 2014  August,132 x 67 x 9.6 mm (5.20 x 2.64 x 0.38 in),141,4.97,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,,480 x 854 pixels (~218 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,5 MP| autofocus| LED flash,2 MP,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n| hotspot,,Yes with A-GPS,,FM radio,microUSB 2.0| USB Host,Accelerometer| proximity| compass,Li-Ion 2000 mAh battery,Black| White| Fuchsia| Yellow| Coral| Violet| Bleen,130.0,http://cdn2.gsmarena.com/vv/bigpic/wiko-birdy.jpg
Motorola,EX128,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Class 10,Class 10,2010  October. Released 2010  October,Discontinued,107 x 57 x 12.8 mm (4.21 x 2.24 x 0.50 in),80,2.82,Mini-SIM,TFT resistive touchscreen  256K colors,,240 x 400 pixels (~146 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,3.15 MP,No,Yes,Yes,No,2.1| A2DP,No,,Stereo FM radio| RDS,microUSB 2.0,,Removable Li-Ion 910 mAh battery,Black,100.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-ex128.jpg
,CX65,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2004  February,Discontinued,108 x 46 x 18 mm (4.25 x 1.81 x 0.71 in),90,3.17,Mini-SIM,TFT  65K colors,2.1 inches (~27.5% screen-to-body ratio),132 x 176 pixels| 9 lines (~105 ppi pixel density),,,,,No,11 MB,,VGA,No,Yes,,No,No,No,,No,Yes,,Removable Li-Ion 750 mAh battery (EBA-660),Cool Silver,,http://cdn2.gsmarena.com/vv/bigpic/sicx65.gif
Micromax,A67 Bolt,GSM,,,,,Class 12,Class 12,2013  August,,137.7 x 67.6 x 10.5 mm (5.42 x 2.66 x 0.41 in),,,Dual SIM,TFT capacitive touchscreen  256K colors,4.5 inches (~59.9% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 4.0.3 (Ice Cream Sandwich),,,,microSD  up to 32 GB (dedicated slot),,512 MB RAM,2 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,2.1| A2DP| EDR,No,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1850 mAh battery,Black| White,60.0,http://cdn2.gsmarena.com/vv/bigpic/micromax-bolt-bolt-a67.jpg
T-Mobile,myTouch 4G,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1700 / 2100 ,,HSPA 14.4/5.76 Mbps,Class 10,Class 10,2010  October. Released 2010  November,Discontinued,121.9 x 61 x 10.2 mm (4.80 x 2.40 x 0.40 in),153.1,5.4,Mini-SIM,TFT capacitive touchscreen  16M colors,3.8 inches (~55.3% screen-to-body ratio),480 x 800 pixels (~246 ppi pixel density),Android 2.2 (Froyo)| upgradable to 2.3 (Gingerbread),1.0 GHz Scorpion,Qualcomm MSM8255 Snapdragon S2,Adreno 205,microSD  up to 32 GB (dedicated slot)  8 GB included,,768 MB RAM,5 MP| autofocus| LED flash,VGA videocall camera,Yes,Yes,Wi-Fi 802.11 b/g/n| DLNA| hotspot,2.1| A2DP,Yes with A-GPS,,FM radio,miniUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1400 mAh battery,Black,280.0,http://cdn2.gsmarena.com/vv/bigpic/t-mobile-mytouch-hd.jpg
Panasonic,P61,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,HSPA,Yes,Yes,2014  July,Available. Released 2014  July,162.7 x 83.8 x 8.2 mm (6.41 x 3.30 x 0.32 in),,6.14,Dual SIM,,6.0 inches (~72.8% screen-to-body ratio),720 x 1280 pixels (~245 ppi pixel density),,Quad-core 1.3 GHz,,,microSD  up to 32 GB (dedicated slot),16 GB,1 GB RAM,8 MP| autofocus| dual-LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Ion 2800 mAh battery,Pearl White| Black,190.0,
Motorola,ATRIX 4G,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,HSPA 14.4/5.76 Mbps,Class 12,Class 12,2011  January,Available. Released 2011  February,117.8 x 63.5 x 11 mm (4.64 x 2.5 x 0.43 in),,4.76,Mini-SIM,TFT capacitive touchscreen  16M colors,4.0 inches (~59.0% screen-to-body ratio),540 x 960 pixels (~275 ppi pixel density),Android 2.3 (Gingerbread)| not upgradable to 4.1 (Jelly Bean),Dual-core 1.0 GHz Cortex-A9,Nvidia Tegra 2 AP20H,ULP GeForce,microSD  up to 32 GB (dedicated slot),,1 GB RAM,5 MP| autofocus| LED flash| ,VGA,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| DLNA| hotspot,2.1| A2DP| EDR,Yes with A-GPS,,No,,Fingerprint (rear-mounted)| accelerometer| proximity| compass,Removable Li-Po 1930 mAh battery,,190.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-ATRIX-4G.jpg
Motorola,EX300,GSM / HSPA,,HSDPA 900 / 2100 ,,HSPA 3.6/0.384 Mbps,Class 10,Class 10,2010  September. Released 2010  December,Discontinued,106 x 56.8 x 14 mm (4.17 x 2.24 x 0.55 in),105,3.7,Mini-SIM,TFT resistive touchscreen  256K colors,2.8 inches (~40.3% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),,QSC 6270,,,microSD  up to 8 GB (dedicated slot),90 MB,,3.15 MP| autofocus,No,Yes,Yes,No,,Yes with A-GPS,,Stereo FM radio,miniUSB 2.0,Accelerometer,,Black,140.0,
Asus,Fonepad 8 FE380CG,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,,HSPA 42.2/5.76 Mbps,,Yes,2014  June,Available. Released 2014  Q3,214 x 120 x 8.9 mm (8.43 x 4.72 x 0.35 in),328,11.57,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,8.0 inches (~72.3% screen-to-body ratio),,Android 4.4.2 (KitKat),,Intel Atom Z3530,PowerVR G6430,microSD  up to 64 GB (dedicated slot),8/16 GB,1/2 GB RAM,5 MP| autofocus,2 MP,Yes with stereo speakers,Yes,,4.0| A2DP,Yes with A-GPS GLONASS,,No,microUSB 2.0,Accelerometer| proximity| compass,Non-removable Li-Po battery (15.2 Wh),Black| White| Red| Gold,200.0,http://cdn2.gsmarena.com/vv/bigpic/asus-fonepad-8-fe380cg.jpg
,U8510 IDEOS X3,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA,Class 10,Class 10,2011  February. Released 2011  July,Discontinued,110 x 56.5 x 11.2 mm (4.33 x 2.22 x 0.44 in),104,3.67,Mini-SIM,TFT capacitive touchscreen  16M colors,3.2 inches (~49.1% screen-to-body ratio),320 x 480 pixels (~180 ppi pixel density),Android 2.3 (Gingerbread),600 MHz ARM 11,Qualcomm MSM7227 Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),512 MB,256 MB RAM,3.15 MP| autofocus,VGA,Yes,,Wi-Fi 802.11 b/g/n| hotspot,2.1| A2DP| EDR,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Po 1200 mAh battery,Black| Silver| Red,100.0,http://cdn2.gsmarena.com/vv/bigpic/huawei-ideos-x3.jpg
Asus,Pegasus,GSM / LTE,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2, TD-SCDMA,LTE band 38(2600)| 39(1900)| 40(2300),,Yes,Yes,2014  December,Available. Released 2015  May,146 x 73 x 9.9 mm (5.75 x 2.87 x 0.39 in),140,4.94,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~64.7% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 4.4 (KitKat),,Mediatek MT6732,,microSD  up to 32 GB (dedicated slot),8/16 GB,2 GB RAM,8 MP| f/2.0| autofocus| LED flash,5 MP| f/2.2,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,,Yes with A-GPS,,To be confirmed,microUSB 2.0,,Removable Li-Po 2500 mAh battery,Black| White| Red| Gold,80.0,http://cdn2.gsmarena.com/vv/bigpic/asus-x002.jpg
LG,Optimus LTE2,CDMA / HSPA / EVDO / LTE,CDMA 800 / 1900 - F160L, HSDPA - F160S| F160K, LTE - F160S| F160K,HSPA 42.2/5.76 Mbps  LTE Cat3 100/50 Mbps  EV-DO Rev.A 3.1 Mbps,No,No,2012  May,Available. Released 2012  August,134.7 x 69.5 x 8.9 mm (5.30 x 2.74 x 0.35 in),145,5.11,Mini-SIM,True HD-IPS LCD capacitive touchscreen  16M colors,4.7 inches (~65.0% screen-to-body ratio),720 x 1280 pixels (~312 ppi pixel density),Android 4.0 (Ice Cream Sandwich),Dual-core 1.5 GHz Krait,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,,1.3 MP,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| Wi-Fi Direct| DLNA| hotspot,4.0| A2DP| LE,Yes with A-GPS,,No,microUSB 2.0 (MHL TV-out),Accelerometer| gyro| proximity| compass,Removable Li-Ion 2150 mAh battery,Black| white,210.0,http://cdn2.gsmarena.com/vv/bigpic/lg-optimus-lte2.jpg
alcatel,Pixi 4 (3.5),GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2016  January,Available. Released 2016  Q3,116 x 62 x 10 mm (4.57 x 2.44 x 0.39 in),,,Micro-SIM,TFT capacitive touchscreen  16M colors,3.5 inches (~50.7% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 5.1 (Lollipop),Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572M,Mali-400,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,2 MP| LED flash,VGA,,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS (optional),,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 1300 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-pixi4-35.jpg
HTC,,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 7.2/0.384 Mbps,Class 10,Class 10,2008  August. Released 2008  November,Discontinued,116.3 x 43.4 x 16.3 mm (4.58 x 1.71 x 0.64 in),140,4.94,Mini-SIM,TFT  65K colors,2.4 inches (~35.3% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),Microsoft Windows Mobile 6.1 Standard,528 MHz ARM 11,Qualcomm MSM7225 Snapdragon S1,,microSD (dedicated slot),256 MB ROM,256 MB RAM,3.2 MP,No,Yes,No,Wi-Fi 802.11b/g,2.0| A2DP,Yes with A-GPS,,No,miniUSB 2.0,,Removable Li-Po 1050 mAh battery,Black,120.0,http://cdn2.gsmarena.com/vv/bigpic/htc-s740.jpg
,E2370 Xcover,GSM,GSM 900 / 1800 ,,,,Class 10,Class 10,2010  February. Released 2010  August,Discontinued,112 x 49 x 19 mm (4.41 x 1.93 x 0.75 in),115,4.06,Mini-SIM,TFT  256K colors,1.77 inches (~18.0% screen-to-body ratio),128 x 160 pixels (~116 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),40 MB,,VGA,No,,No,No,,No,,Stereo FM radio| RDS| recording,microUSB 1.1,,Removable Li-Ion 2000 mAh battery,Red| Black,100.0,http://cdn2.gsmarena.com/vv/bigpic/Samsung-Xcover-E2370.jpg
Samsung,R900 Craft,CDMA / EVDO / LTE,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,LTE band 2(1900)| 4(1700/2100),EV-DO Rev.0  153.2 Kbps,No,No,2010  September. Released 2010  September,Discontinued,114.3 x 55.9 x 11.9 mm (4.5 x 2.20 x 0.47 in),106,3.74,,,,480 x 800 pixels (~283 ppi pixel density),,,,,,165 MB,,3.15 MP| autofocus| dual-LED flash,,Yes,No,,2.1| A2DP,,,No,microUSB 2.0,,Removable Li-Ion 1500 mAh battery,Black,100.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-r900.jpg
Vertu,Signature S,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 ,UMTS 850 / 2100 ,,Yes  384 kbps,Yes,Yes,2007. Released 2008  October,Discontinued,130 x 42 x 13 mm| 65 cc (5.12 x 1.65 x 0.51 in),From,5.86,Mini-SIM,TFT  16M colors,2.0 inches (~22.7% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),,,,,No,4 GB,,,,Yes,No,Wi-Fi 802.11 b/g,Yes,No,,No,microUSB,,Non-removable Li-Ion battery,White Gold| Yellow Gold| Stainless Steel,5160.0,http://cdn2.gsmarena.com/vv/bigpic/vertu-signature-s.jpg
Motorola,A668,GSM,GSM 900 / 1800 / 1900 ,,,,,No,2004  4Q,Discontinued,92 x 44 x 23 mm (3.62 x 1.73 x 0.91 in),90,3.17,Mini-SIM,TFT resistive touchscreen  256K colors,,128 x 160 pixels,,,,,No,,,1.3 MP| LED flash,No,No,No,No,,No,,No,Yes,,Removable Li-Ion 810 mAh battery,Silver| Black,,http://cdn2.gsmarena.com/vv/bigpic/moa668.gif
BenQ,,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,No,2004  1Q,Discontinued,122 x 60 x 20 mm (4.80 x 2.36 x 0.79 in),170,6,Mini-SIM,TFT resistive touchscreen  65K colors,2.8 inches| 42 x 57 mm (~33.2% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),Microsoft Windows PocketPC 2003 Phone edition,Intel PXA272 416 MHz,,,,64 MB ROM,,1.3 MP,,Yes,No,Wi-Fi 802.11b,1.1,,,No,Yes,,Removable Li-Ion 1240 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/bqp50.gif
Huawei,,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,LTE band 3(1800)| 7(2600)| 20(800),HSPA  LTE Cat4 150/50 Mbps,Yes,,,,131 x 65.3 x 7.9 mm (5.16 x 2.57 x 0.31 in),145,5.11,Micro-SIM,Capacitive touchscreen  16M colors,4.5 inches (~65.3% screen-to-body ratio),540 x 960 pixels (~245 ppi pixel density),Android 4.3 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8926 Snapdragon 400,Adreno 305,microSD  up to 32 GB (dedicated slot),8 GB,,5 MP| LED flash,1 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Ion 2000 mAh battery,Black| White,110.0,http://cdn2.gsmarena.com/vv/bigpic/huawei-g535.jpg
Yezz,Andy 5E2I,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 - AM5E3I047,,HSPA 21.1/5.76 Mbps,Class 12,Class 12,2015  October,Available. Released 2015  November,145.5 x 75.3 x 9 mm (5.73 x 2.96 x 0.35 in),104,3.67,Dual SIM,TFT capacitive touchscreen  16M colors,5.0 inches (~62.9% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),Android 5.1 (Lollipop),Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572M,Mali-400,microSD  up to 64 GB,,512 MB RAM,5 MP,1.3 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| LE,,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,Black| Cool Gray,,http://cdn2.gsmarena.com/vv/bigpic/yezz-andy-5e2i.jpg
Maxwest,Tab Phone 72DC,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,UMTS 850 / 1900 / 2100 ,,HSPA 7.2/5.76 Mbps,Class 12,,2013  August,Available. Released 2013  August,187 x 107 x 9.2 mm (7.36 x 4.21 x 0.36 in),270,9.52,Dual SIM (Dual stand-by),TFT capacitive touchscreen,7.0 inches (~68.9% screen-to-body ratio),,Android 4.1.2 (Jelly Bean),Dual-core 1.2 GHz Cortex-A9,Mediatek MT8377,PowerVR SGX531u,microSD  up to 32 GB (dedicated slot),8 GB,1 GB RAM,2 MP,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,,Yes,Accelerometer| proximity,,Black/White,,http://cdn2.gsmarena.com/vv/bigpic/maxwest-72dc.jpg
BLU,Life View,GSM / HSPA,,,,HSPA 42.2/5.76 Mbps,Class 12,Class 12,2013  March. Released 2013  April,Discontinued,161 x 82.5 x 8.9 mm (6.34 x 3.25 x 0.35 in),220,7.76,Dual SIM (Mini-SIM| dual stand-by),LED-backlit IPS LCD capacitive touchscreen  16M colors,5.7 inches (~67.4% screen-to-body ratio),720 x 1280 pixels (~258 ppi pixel density),Android 4.2 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,,PowerVR SGX544,,,1 GB RAM,12 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,,microUSB 2.0,Accelerometer| gyro| proximity| compass,Removable Li-Ion 2600 mAh battery,Black| White,230.0,http://cdn2.gsmarena.com/vv/bigpic/blu-life-view.jpg
MWg,Zinc II,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,,Class 10,Class 10,2008  May,Discontinued,109.5 x 59 x 18 mm (4.31 x 2.32 x 0.71 in),185,6.53,Mini-SIM,TFT resistive touchscreen  256K colors (65K effective),2.8 inches (~37.6% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),Microsoft Windows Mobile 6.1 Professional,Samsung 2442 500 MHz,,,microSD (dedicated slot),256 MB ROM,64 MB RAM,2 MP,No,,No,Wi-Fi 802.11b/g,2.0| A2DP,Yes SiRF Star III chipset,,No,,,Removable Li-Po 1530 mAh battery,Black,,
BLU,Energy X,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100 - E010Q,,HSPA 21.1/5.76 Mbps,Yes,Yes,2015  September,Available. Released 2015  September,142 x 70 x 8.9 mm (5.59 x 2.76 x 0.35 in),154,5.43,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~69.3% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A7,,,microSD  up to 64 GB,8 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,,Non-removable Li-Po 4000 mAh battery,Gold| Grey,,http://cdn2.gsmarena.com/vv/bigpic/blu-energy-x.jpg
Nokia,103,GSM,GSM 900 / 1800 ,,,,No,No,2012  April,Available. Released 2012  Q4,107.2 x 45.1 x 15.3 mm (4.22 x 1.78 x 0.60 in),76.6,2.68,Mini-SIM,Monochrome graphic,1.36 inches (~11.6% screen-to-body ratio),96 x 68 pixels (~87 ppi pixel density),,,,,No,,,,,Yes,Yes,No,,No,,Stereo FM radio,No,,Removable Li-Ion 800 mAh battery (BL-5CB),Blue/Orange,10.0,http://cdn2.gsmarena.com/vv/bigpic/nokia-103.jpg
Meizu,M5 Note,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 1900 / 2100 , LTE,HSPA  LTE,Yes,Yes,2016  December,Available. Released 2016  December,153.6 x 75.8 x 8.2 mm (6.05 x 2.98 x 0.32 in),175,6.17,Dual SIM (Nano-SIM| dual stand-by),LTPS IPS LCD capacitive touchscreen  16M colors,5.5 inches (~70.9% screen-to-body ratio),1080 x 1920 pixels (~403 ppi pixel density),Android 6.0 (Marshmallow),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),Mediatek MT6755 Helio P10,Mali-T860MP2,microSD  up to 256 GB (uses SIM 2 slot),16/32 GB,3 GB RAM or 64 GB| 4 GB RAM,,5 MP| f/2.0,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| hotspot,4.0| A2DP| LE,Yes with A-GPS GLONASS,,No,microUSB 2.0,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,,Gray| Silver| Gold| Blue,,http://cdn2.gsmarena.com/vv/bigpic/meizu-m5-note.jpg
alcatel,OT 300,GSM,GSM 900 / 1800 ,,,,No,No,2000,Discontinued,109 x 45 x 22 mm| 91 cc (4.29 x 1.77 x 0.87 in),103,3.63,Mini-SIM,Monochrome graphic,,5 lines,,,,,No,,,,,Yes,No,No,No,No,,,,,Removable Li-Ion battery,5,,http://cdn2.gsmarena.com/vv/bigpic/alot300b.jpg
Samsung,D510,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2005  1Q,Discontinued,94 x 46 x 24 mm (3.70 x 1.81 x 0.94 in),95,3.35,Mini-SIM,TFT  256K colors,1.9 inches| 30 x 37 mm (~26.3% screen-to-body ratio),176 x 220 pixels (~148 ppi pixel density),,,,,microSD (dedicated slot),30 MB,,1.3 MP| LED flash,No,Yes with stereo speakers,No,No,,,,No,,,Removable Li-Ion 900 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/samsung-d510.gif
